============================================================
  롯데리조트 잔여객실 현황
  수집일시: 2026-06-11 00:21
  수집건수: 1657건
============================================================

■ 롯데리조트 부여
  2026.06.11(목) H 훼미리(F) | 5실
  2026.08.12(수) 23 A-TYPE 더블+더블룸 | 2실
  2026.08.12(수) 23 C-TYPE 핸디캡룸 | 5실
  2026.08.12(수) 31 A-TYPE   더블+온돌룸 | 3실
  2026.08.12(수) 31 A-TYPE 트윈+온돌룸 | 2실
  2026.08.12(수) 31 A-TYPE 트윈+더블룸 | 4실
  2026.08.12(수) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.12(수) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.08.12(수) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.08.13(목) 18 A- TYPE 더블룸 | 1실
  2026.08.13(목) 18 A- TYPE 트윈룸 | 1실
  2026.08.13(목) 31 A-TYPE   더블+온돌룸 | 4실
  2026.08.13(목) 31 A-TYPE 트윈+온돌룸 | 4실
  2026.08.13(목) 31 B-TYPE 더블+온돌룸 | 2실
  2026.08.13(목) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.08.13(목) 31 C-TYPE 말랑이 더블+온돌룸 | 2실
  2026.08.14(금) 18 A- TYPE 더블룸 | 3실
  2026.08.14(금) 18 A- TYPE 트윈룸 | 4실
  2026.08.14(금) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.14(금) 31 B-TYPE 더블+온돌룸 | 5실
  2026.08.14(금) 31 B-TYPE 트윈+온돌룸 | 8실
  2026.08.14(금) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.08.15(토) 18 A- TYPE 더블룸 | 6실
  2026.08.15(토) 18 A- TYPE 트윈룸 | 7실
  2026.08.15(토) 23 C-TYPE 펫 더블+더블룸 | 1실
  2026.08.15(토) 31 C-TYPE 프리미엄 더블룸 | 3실
  2026.08.15(토) 31 C-TYPE 풀 더블+더블룸 | 4실
  2026.08.16(일) 18 A- TYPE 더블룸 | 6실
  2026.08.16(일) 18 A- TYPE 트윈룸 | 2실
  2026.08.16(일) 23 C-TYPE 펫 더블+더블룸 | 1실
  2026.08.16(일) 23 C-TYPE 핸디캡룸 | 6실
  2026.08.16(일) 31 B-TYPE 더블+온돌룸 | 5실
  2026.08.16(일) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.08.16(일) 31 C-TYPE 풀 더블+더블룸 | 3실
  2026.08.17(월) 18 A- TYPE 더블룸 | 2실
  2026.08.17(월) 18 A- TYPE 트윈룸 | 1실
  2026.08.17(월) 23 A-TYPE 더블+더블룸 | 3실
  2026.08.17(월) 23 C-TYPE 핸디캡룸 | 5실
  2026.08.17(월) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.17(월) 31 A-TYPE 트윈+온돌룸 | 2실
  2026.08.17(월) 31 A-TYPE 트윈+더블룸 | 2실
  2026.08.17(월) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.17(월) 31 B-TYPE 트윈+온돌룸 | 3실
  2026.08.17(월) 31 C-TYPE 풀 더블+더블룸 | 1실
  2026.08.17(월) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.08.18(화) 18 A- TYPE 더블룸 | 1실
  2026.08.18(화) 23 A-TYPE 더블+더블룸 | 2실
  2026.08.18(화) 23 C-TYPE 핸디캡룸 | 3실
  2026.08.18(화) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.18(화) 31 A-TYPE 트윈+온돌룸 | 2실
  2026.08.18(화) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.18(화) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.08.19(수) 23 A-TYPE 더블+더블룸 | 1실
  2026.08.19(수) 31 A-TYPE   더블+온돌룸 | 2실
  2026.08.19(수) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.19(수) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.19(수) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.08.20(목) 23 A-TYPE 더블+더블룸 | 1실
  2026.08.20(목) 31 A-TYPE   더블+온돌룸 | 2실
  2026.08.20(목) 31 A-TYPE 트윈+온돌룸 | 2실
  2026.08.20(목) 31 A-TYPE 트윈+더블룸 | 1실
  2026.08.20(목) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.20(목) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.08.21(금) 23 A-TYPE 더블+더블룸 | 2실
  2026.08.21(금) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.21(금) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.21(금) 31 A-TYPE 트윈+더블룸 | 2실
  2026.08.21(금) 31 B-TYPE 더블+온돌룸 | 1실
  2026.08.21(금) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.08.22(토) 18 A- TYPE 트윈룸 | 2실
  2026.08.22(토) 23 C-TYPE 핸디캡룸 | 1실
  2026.08.22(토) 31 A-TYPE   더블+온돌룸 | 3실
  2026.08.22(토) 31 A-TYPE 트윈+온돌룸 | 3실
  2026.08.22(토) 31 A-TYPE 트윈+더블룸 | 1실
  2026.08.22(토) 31 B-TYPE 더블+온돌룸 | 2실
  2026.08.23(일) 18 A- TYPE 더블룸 | 2실
  2026.08.23(일) 18 A- TYPE 트윈룸 | 1실
  2026.08.23(일) 23 A-TYPE 더블+더블룸 | 1실
  2026.08.23(일) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.23(일) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.23(일) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.08.24(월) 18 A- TYPE 더블룸 | 1실
  2026.08.24(월) 23 A-TYPE 더블+더블룸 | 3실
  2026.08.24(월) 31 A-TYPE   더블+온돌룸 | 2실
  2026.08.24(월) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.24(월) 31 B-TYPE 트윈+온돌룸 | 2실
  2026.08.25(화) 23 A-TYPE 더블+더블룸 | 2실
  2026.08.25(화) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.25(화) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.25(화) 31 A-TYPE 트윈+더블룸 | 2실
  2026.08.25(화) 31 B-TYPE 트윈+온돌룸 | 1실
  2026.08.25(화) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.08.26(수) 23 A-TYPE 더블+더블룸 | 1실
  2026.08.26(수) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.26(수) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.26(수) 31 A-TYPE 트윈+더블룸 | 1실
  2026.08.26(수) 31 C-TYPE 프리미엄 더블룸 | 1실
  2026.08.27(목) 31 A-TYPE   더블+온돌룸 | 2실
  2026.08.27(목) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.27(목) 31 A-TYPE 트윈+더블룸 | 1실
  2026.08.28(금) 18 A- TYPE 더블룸 | 1실
  2026.08.28(금) 31 A-TYPE   더블+온돌룸 | 1실
  2026.08.28(금) 31 A-TYPE 트윈+더블룸 | 2실
  2026.08.28(금) 31 C-TYPE 프리미엄 더블룸 | 2실
  2026.08.29(토) 23 A-TYPE 더블+더블룸 | 1실
  2026.08.29(토) 31 A-TYPE   더블+온돌룸 | 2실
  2026.08.29(토) 31 A-TYPE 트윈+더블룸 | 2실
  2026.08.29(토) 31 C-TYPE 프리미엄 더블룸 | 2실
  2026.08.29(토) 31 C-TYPE 말랑이 더블+온돌룸 | 1실
  2026.08.30(일) 31 A-TYPE 트윈+온돌룸 | 1실
  2026.08.30(일) 31 A-TYPE 트윈+더블룸 | 1실
  2026.08.31(월) 31 A-TYPE 트윈+온돌룸 | 1실
